Contributor ID,Ratio,Mean_gap,Max_gap
14836860,0.029985855728429985,33,438
4174864,0.06128221244500314,16,1043
3884072,0.048846675712347354,20,560
13863430,0.05855685681904042,17,1835
7641765,0.0581901014702837,17,273
5499713,0.30171073094867806,3,684
6468,0.03604768059744363,27,789
16333418,0.8828193832599119,1,155
5288432,0.23366686286050617,4,1462
4460044,0.03532155948017328,28,590
207616,0.03758198900904095,26,474
305540,0.017956971031678808,56,448
398607,0.11356986100950987,8,2518
7098284,0.47594330205629864,2,71
753665,0.8194126956215931,1,293
7436027,0.05989911727616646,16,1407
2590656,0.032410693162999764,31,1254
86163,0.02133489919749462,47,533
9748448,0.07033388067870827,14,309
1862829,0.47048192771084335,2,604
5014595,0.024093722369584437,41,685
632987,0.06361547976674324,15,1114
154991,0.01883716717985872,53,773
7291611,0.06381896770912789,15,1099
3002016,0.03584029712163417,28,753
764027,0.030758476057322615,32,1319
320496,0.025434399395618233,39,1061
2893227,0.06471238938053098,15,529
15020596,0.2709757613424487,3,473
5394025,0.08260233918128655,12,139
1264145,0.02847981893625047,35,760
10236113,0.09640102827763496,10,284
1808194,0.2020510975170925,4,697
473593,0.0615539858728557,16,357
5081272,0.04136480486094882,24,1676
5200153,0.08163265306122448,12,165
3206409,0.025622775800711744,39,1260
4977910,0.04174120453190221,24,489
9766640,0.03880453121234032,25,344
28516722,0.0655327663831916,15,322
82835,0.7855734472559974,1,379
32005,0.13291906638375264,7,248
6457542,0.03983117910841467,25,640
6774658,0.14163335237007424,7,651
7084983,0.12522045855379188,8,218
128887,0.040753424657534246,24,600
64853,0.07785087719298246,12,145
66197,0.06796855186406289,14,467
2090713,0.02669902912621359,37,2801
1224855,0.175530981218185,5,93
4357109,0.1609513274336283,6,200
111064,1.0843373493975903,0,27
32452,0.05949831752829612,16,1368
12429,0.055327868852459015,18,547
7279,0.0626890756302521,15,1666
23743,0.4558011049723757,2,200
58947,0.055077737347006286,18,1542
136104,0.17976710334788937,5,305
162210,0.05491907619567194,18,2136
9413364,0.05081796032022276,19,959
282094,0.09069400630914827,11,307
5697725,0.09954751131221719,10,780
4727333,0.18176795580110497,5,352
398127,0.057925460260440056,17,434
270413,0.10245286167195061,9,259
898126,0.21997471554993678,4,315
93143,0.6495948136142625,1,285
6660588,0.08796391224113184,11,761
159678,0.41087835354649027,2,627
589223,0.3191885038038884,3,413
602857,0.11162111412476529,8,184
3229905,0.03378176382660687,29,679
11346867,0.047389761784085147,21,614
1416331,0.06283740012956165,15,650
450380,0.10192372595342558,9,386
5899356,0.027127659574468086,37,520
25530780,0.07255389718076286,13,219
378651,0.046064932857385686,21,379
577301,0.1976960867355582,5,144
11308236,1.3698536139066788,0,24
14002858,0.21077762619372442,4,329
22041646,0.38607835678965385,2,128
9755426,0.2640739733478379,3,469
1835211,0.05344764684421744,18,215
873891,0.025144054478784705,40,450
28568042,0.2318840579710145,4,71
842922,0.13765941485371344,7,757
196446,0.5114998380304503,1,84
8780,0.1268386271583884,7,747
8029,0.14538745387453875,6,585
61929,0.0314873417721519,31,1525
214427,0.2101566720691518,4,71
24902,0.3730039168424224,2,60
1499324,0.13068181818181818,7,147
10172481,0.12750142938822184,7,112
332841,0.62248126561199,1,257
525927,0.3685540950455005,2,144
1994682,0.06428062678062678,15,505
754619,0.49682512442079974,2,269
13791031,0.3873537465770476,2,68
158051,0.14300327332242227,7,391
28779459,0.09453993933265925,10,173
31530,0.01616070080048331,62,1948
10109,0.049412329095706406,20,1409
6273,0.3017656500802568,3,80
44020,0.3054037644201579,3,315
16924,0.7286821705426356,1,57
389639,0.31521739130434784,3,102
135639,0.07735281478298238,12,827
212624,0.0849381714980742,11,535
764861,0.4103172890135981,2,91
713860,0.07343692193858675,13,625
8024439,0.23882134762002885,4,339
88026,0.42335888037320896,2,377
7852030,1.7841123454202474,0,126
4373810,0.046058970899980727,21,316
150159,0.027879677182685254,36,1446
