Contributor ID,Ratio,Mean_gap,Max_gap
508734,0.4731457800511509,2,223
6655086,0.04581110762472545,21,456
1368779,0.0641321044546851,15,252
1951353,0.23747152619589978,4,2036
14965160,0.31016042780748665,3,66
1544984,0.36553136050623486,2,273
7332659,0.04223908140250154,23,338
372290,0.27419651056014693,3,347
753665,0.7809924601087147,1,217
71061,0.059049447911665866,16,1653
2956291,0.0935562652639489,10,334
207616,0.03826488537027874,26,563
88026,0.35729149991996156,2,419
32005,0.10743675708625419,9,451
949717,0.25281775619906366,3,94
13358461,0.2366881217086015,4,103
5886041,0.10413223140495868,9,355
8613163,0.10121457489878542,9,582
271168,0.20289522058823528,4,316
24902,0.3030579643998174,3,98
14730724,0.25984049395420633,3,73
10289486,0.2622913847541723,3,246
20988148,0.13821138211382114,7,127
203786,0.13373737373737374,7,151
11406674,0.20200214515552378,4,217
9784415,0.626715205824699,1,947
10248457,0.06726149622512011,14,423
28568042,0.09736180904522614,10,178
33824435,0.14236902050113895,7,65
31567860,0.15844544095665172,6,127
5846,0.04841954022988506,20,310
5663757,0.09334233018443545,10,2547
260537,0.07125231338679827,14,415
547792,0.03570172353148083,28,566
14926857,0.1268637195919435,7,137
2618808,0.21213569039655997,4,207
794371,0.04647819837086727,21,392
2602832,0.07487832272557095,13,1008
5190,0.06364513018322084,15,649
1369916,0.03835035652341492,26,716
131372,0.0405766150560598,24,535
4670924,0.08187357197258187,12,563
18776,0.07897513187641296,12,745
12107077,0.1366272326606356,7,124
319357,0.3578826237054085,2,54
314721,0.14830789648307896,6,228
521374,0.15766331658291458,6,152
99037,0.06701536449820203,14,3197
159620,0.04225352112676056,23,677
188,0.1533720725479838,6,509
31280,0.29871977240398295,3,137
6511,0.09041591320072333,11,242
105537,0.146814893241574,6,994
227287,0.048822269807280515,20,387
6774658,0.1264674493062967,7,404
117878,0.08062709966405375,12,412
395052,0.03156297420333839,31,1331
147115,0.2324455205811138,4,87
7580,0.2738944365192582,3,1287
7007500,0.675481277766025,1,68
214427,0.32599946337536895,3,90
1918920,0.16324264297612437,6,264
2966869,0.10606380731037397,9,576
1591,0.11340059684524656,8,1433
82835,0.7086395557733137,1,374
736651,0.18123093486452538,5,355
20394,0.020579388950451163,48,547
148027,0.29078947368421054,3,162
986621,0.1883008356545961,5,394
1510874,0.40063091482649843,2,74
255977,0.06766917293233082,14,303
390477,0.05917753259779338,16,678
156441,0.31752241238793805,3,2071
8625,0.039623164311443616,25,1098
237086,0.08566687409251193,11,1164
485987,0.02086230876216968,48,546
25018090,0.4164904862579281,2,121
294809,0.06367682300581992,15,672
419920,0.03998161764705882,25,2916
293907,0.18770819453697535,5,345
159678,0.45427844135500295,2,440
4071608,0.13253012048192772,7,137
1862829,0.48891481913652274,2,328
16333418,0.8340888485947416,1,174
1461430,0.23863410760373238,4,355
22399950,0.10310965630114566,9,100
2051880,0.08576022869394319,11,99
13263935,0.06504663721158567,15,284
334792,0.08029739776951673,12,633
347371,0.1279491833030853,7,245
254396,0.03158256093374528,31,350
36389,0.09968041394003957,10,737
34706848,0.08571428571428572,11,114
212435,0.05156683855612852,19,233
233571,0.3164933135215453,3,223
3006008,0.11020036429872496,9,127
383311,0.18452779638312122,5,745
6781,0.6046511627906976,1,1332
21887,0.06840022611644997,14,337
603177,1.3516209476309227,0,17
502540,0.01965435445611657,51,2039
2092344,0.2103399433427762,4,1085
196446,0.46680733647135203,2,104
20612,0.04055258467023173,24,391
8786164,0.21975180972078592,4,381
15572676,0.10621942697414395,9,144
18054835,0.17157894736842105,5,184
170952,0.03347064881565397,30,1546
389406,0.15683814303638646,6,107
197953,0.3312020460358056,3,223
775423,0.17518248175182483,5,88
1019695,0.03592682389243994,28,985
429935,0.18588235294117647,5,95
1247994,0.3497942386831276,2,76
1344935,0.14644351464435146,6,640
350890,0.15115134815981107,6,507
203494,0.09490676315057055,10,713
144202,0.01665588615782665,60,2023
97951,0.2166111727709952,4,2084
335298,0.021010505252626314,47,1854
26201,0.03395931142410016,29,800
923901,0.24766355140186916,4,100
37736,0.04476969436074042,22,392
160367,0.18129708483458892,5,300
149061,0.06898296508686119,14,408
270405,0.021518333620244447,46,355
372693,0.12020351918592326,8,844
8163010,3.5390625,0,25
937705,0.28731942215088285,3,1574
2377922,0.046009771986970684,21,551
3516226,0.024224072672218017,41,1627
6630708,0.20672268907563024,4,150
136745,0.15590438815554764,6,121
118722,0.3274991585324806,3,881
425079,0.058283433133732535,17,695
4968133,0.06143344709897611,16,401
107928,0.08027559685947765,12,1484
7298889,0.0335195530726257,30,491
3683078,0.1292952824694234,7,822
1526960,0.08585384181852339,11,697
11391208,0.07626310772163966,13,298
13076088,0.07906976744186046,12,200
589223,0.2366101694915254,4,415
897961,0.04338800083039236,23,1441
10728040,0.15334088335220838,6,124
1614547,0.04221980413492927,23,1326
1594127,0.12384536435169347,8,1306
11555324,0.3648186173853525,2,71
8729451,0.2573513154985629,3,237
1004750,0.2985930171964565,3,724
1152308,0.13348697039531998,7,2070
7801357,0.12446351931330472,8,180
11505133,0.12016293279022404,8,203
7695475,0.31156053566548236,3,907
9861893,0.2544757033248082,3,143
15020596,0.25529265255292655,3,657
14841472,0.05377329666972197,18,239
863017,0.08884501480750247,11,339
18240633,0.046189376443418015,21,748
6561336,0.027096774193548386,37,558
1879566,0.2780955895921757,3,159
7852030,1.617343717112187,0,91
2278355,0.3807314897413024,2,44
3174456,0.3011018237082067,3,2244
6282205,0.0416761557731724,24,1476
